"from","to"
"Cycs","Ndufa4"
"Mdh2","Ndufa4"
"Slc25a4","Ndufa4"
"Atg16l1","Phgdh"
"Gnao1","Phgdh"
"Chmp2b","Phgdh"
"Clip1","Mapre2"
"Ndufs2","Got2"
"Ndufa10","Got2"
"Ndufs1","Got2"
"Ndufs7","Got2"
"Cyc1","Got2"
"Pten","Got2"
"Acadvl","Got2"
"Idh3g","Got2"
"Acaa2","Got2"
"Mdh2","Got2"
"Fh1","Got2"
"Idh3a","Got2"
"Aco2","Got2"
"Slc25a4","Got2"
"Hdac6","Pdha1"
"Ndufs2","Pdha1"
"Ndufb7","Pdha1"
"Ndufa10","Pdha1"
"Ndufs1","Pdha1"
"Cyc1","Pdha1"
"Idh3g","Pdha1"
"Dlat","Pdha1"
"Pdhb","Pdha1"
"Cycs","Pdha1"
"Idh3a","Pdha1"
"Dld","Pdha1"
"Cisd1","Pdha1"
"Slc25a4","Pdha1"
"Gnao1","Aldh5a1"
"Adam10","Gpd1l"
"Mapk14","Opa1"
"Gnao1","Opa1"
"Col3a1","Plxnd1"
"Atg16l1","Alkbh5"
"Atg16l1","Aldh2"
"Mdh2","Aldh2"
"Atg16l1","Apool"
"Aifm1","Apool"
"Prmt5","Eif4a3"
"Prpf8","Eif4a3"
"Atg16l1","Snd1"
"Actb","Snd1"
"Eef1a1","Snd1"
"Hspa9","Snd1"
"Ruvbl1","Snd1"
"Pcbp1","Snd1"
"Pten","Snd1"
"Cttn","Snd1"
"Fhl1","Snd1"
"Amot","Snd1"
"Chmp2b","Snd1"
"Eif4a3","Snd1"
"Pten","Prdx6"
"Prdx6","Gstp1"
"Ndufa10","Dnajb4"
"Hnrnpd","Dnajb4"
"Bin1","Sirt2"
"Pla2g4a","Sirt2"
"Ctnnb1","Tia1"
"Mapk1","Tia1"
"Slc25a12","Tia1"
"Hspa9","Tia1"
"Phb2","Tia1"
"Ndufs2","Tia1"
"Map2k1","Tia1"
"Pcbp1","Tia1"
"Pcmt1","Tia1"
"Actn4","Tia1"
"Acat1","Tia1"
"Idh3b","Tia1"
"Glud1","Tia1"
"Add1","Tia1"
"Atp2a2","Tia1"
"Dlat","Tia1"
"Pdhb","Tia1"
"Pfkp","Tia1"
"Prkcb","Tia1"
"Car2","Tia1"
"Mdh2","Tia1"
"Add2","Tia1"
"Tardbp","Tia1"
"Idh3a","Tia1"
"Aco2","Tia1"
"Dld","Tia1"
"Got1","Tia1"
"Pdia3","Tia1"
"Snd1","Tia1"
